"","economy","year","wanted_fertility_rate","adolescent_fertility_rate","labor_force_basic_education_male_percent","labor_force_basic_education_female_percent","labor_force_advanced_education_male_percent","labor_force_advanced_education_female_percent","education_expenditure","labor_force_intermediate_education_male_percent","labor_force_intermediate_education_total_percent","family_planning_demand","gender_equality_rating","literacy_rate_15_to_24","school_enrollment_primary","school_enrollment_primary_and_secondary","school_enrollment_secondary","school_enrollment_tertiary","death_by_infectious_disease_or_maternal_conditions","prop_ppl_below_50_med_income","income_share_low_10_percent","income_share_low_20_percent","mean_income_per_cap_bottom_40_percent","prop_spending_more_10_percent_healthcare_oop","prop_spending_more_25_percent_healthcare_oop","net_income_growth_per_cap","percent_pregnant_receiving_prenatal_care","health_expenditure_per_capita","women_3_decisions","informed_repro_health","HCI","percent_female_pop","population_total","gdp_capita_growth","birth_rate","secondary_education_count","secondary_education_percent_F","secondary_education_percent_M","infant_mortality_rate","neonatal_mortality_rate","gdp","female_primary_age_oo_school","female_primary_age_oo_school.1","female_below_min_reading_proficiency","gross_intake_ratio_first_grade_F","primary_school_completion_rate_F","lower_secondary_completion_rate_F"
"607","SRB",2021,NA,13.739,45.86,26.416,72.553,73.425,3.69962505977639,69.823,62.437,NA,NA,NA,1.00295996665955,1.01266002655029,1.01750004291534,1.29993999004364,NA,12.4,2.5,7.1,NA,NA,NA,6.69375690448824,NA,2247.4482016116,NA,NA,NA,52.3624848765915,6834326,8.97258082321535,9.1,510951,NA,NA,4.6,3.3,66159884072.5308,1.57891845703125,3.55644989013672,6.13611936569213,NA,98.1477508544922,95.9084167480469
"608","SRB",2022,NA,13.833,45.242,26.98,74.531,74.1,NA,70.059,62.926,NA,NA,1,NA,NA,NA,1.31323003768921,NA,14,2.4,6.9,10.78,NA,NA,NA,NA,2373.09347513291,NA,NA,NA,52.4238817978641,6664449,5.24705329134949,9.3,503164,NA,NA,4.5,3.3,66797564758.339,NA,3.82171010971069,NA,NA,96.3893585205078,95.8594665527344
"609","SSA",2018,NA,104.018935668517,NA,NA,NA,NA,3.37563823314487,NA,NA,NA,3.17567567567568,0.925300002098083,0.957340002059937,0.93885999917984,0.892790019512177,0.767019987106323,NA,NA,NA,NA,NA,NA,NA,NA,NA,187.737012125464,NA,NA,NA,50.2315028507444,997236086,-0.0962350373486061,35.3827821342709,65141452,46.51831,53.48169,51.5133747061561,28.5308272213253,1704078107124.46,NA,NA,NA,108.0303,66.3530731201172,40.9220314025879
"610","SSA",2019,NA,101.834155680604,NA,NA,NA,NA,3.35593877124381,NA,NA,NA,3.15789473684211,0.929040014743805,0.957449972629547,0.939170002937317,0.893980026245117,0.778760015964508,54.3667850897266,NA,NA,NA,NA,NA,NA,NA,83.1178707108937,193.188467408337,NA,NA,NA,50.2204756525467,1023480610,-0.207671749733393,34.8071915155471,68334808,NA,NA,50.2721929589089,28.0766696549558,1745254110180.65,26.6008358,NA,79.65591431,NA,66.8259201049805,41.5202903747559
"611","SSA",2020,NA,99.6532798329244,NA,NA,NA,NA,3.3882808574019,NA,NA,NA,3.18421052631579,0.930890023708344,0.957690000534058,0.940919995307922,0.900269985198975,0.787249982357025,NA,NA,NA,NA,NA,NA,NA,NA,NA,201.490733048611,NA,NA,NA,50.2116516691879,1049999318,-4.86239383949771,34.2755546857393,71891832,NA,NA,48.7492824815544,27.619894949739,1621662123503.33,NA,NA,NA,NA,67.5699996948242,42.4083595275879
"612","SSA",2021,NA,98.4844208416868,NA,NA,NA,NA,3.6254507685922,NA,NA,NA,3.19736842105263,0.934379994869232,NA,NA,NA,0.794049978256226,NA,NA,NA,NA,NA,NA,NA,NA,NA,217.458505301531,NA,NA,NA,50.2033591980478,1076774079,1.65237054084702,33.9638714311584,75028272,NA,NA,47.709939341088,27.1722409776301,1830970332357.42,NA,NA,NA,NA,68.6412124633789,42.9346199035645
"613","SSA",2022,NA,97.1896628971597,NA,NA,NA,NA,NA,NA,NA,NA,3.23684210526316,0.937340021133423,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,232.625112719439,NA,NA,NA,50.1952248181848,1103704408,1.1241418341552,33.6199414402275,77320872,NA,NA,47.5482911880344,26.750099334319,1956487528375.04,NA,NA,NA,NA,67.8217468261719,42.7895088195801
"614","SSF",2018,NA,100.814416826555,NA,NA,NA,NA,3.36225962250428,NA,NA,NA,3.18421052631579,0.925300002098083,0.957350015640259,0.938870012760162,0.892809987068176,0.767130017280579,NA,NA,NA,NA,NA,NA,NA,NA,NA,175.776364905462,NA,NA,NA,50.1917082317459,1109997000,0.0845981671924108,35.1793279526512,65148912,46.5188,53.4812,50.6,28.8,1790131601908.14,NA,NA,NA,108.0301,66.3550033569336,40.9255409240723
"615","SSF",2019,NA,98.860982770669,NA,NA,NA,NA,3.34217444302248,NA,NA,NA,3.16666666666667,0.929040014743805,0.957449972629547,0.939180016517639,0.893989980220795,0.778869986534119,53.6009012701096,NA,NA,NA,NA,8.8,2.57,NA,82.0989822914736,181.04107232707,NA,NA,NA,50.1824318178936,1139315618,0.0539480052962347,34.6778008593805,68342136,NA,NA,49.4,28.3,1843035420525.45,26.6008358,NA,79.65591431,NA,66.8276596069336,41.5236892700195
"616","SSF",2020,NA,96.8413628985919,NA,NA,NA,NA,3.36938980544984,NA,NA,NA,3.19230769230769,0.930899977684021,0.957690000534058,0.940919995307922,0.900279998779297,0.787349998950958,NA,NA,NA,NA,NA,NA,NA,NA,NA,189.416465031076,NA,NA,NA,50.1753529922605,1169015451,-4.48421200709723,34.1757778569413,71899304,NA,NA,47.8,27.8,1730702407679.05,NA,NA,NA,NA,67.5719299316406,42.4112091064453
